Key;Area;Address;ValueType;Unit;Scale;Offset;Note
Meas_BallTorque;InputRegister;1602;Float32;N·m;1.0;0.0;PLC→HMI 球_当前扭矩
Meas_BallAlarmCode;InputRegister;1604;UInt32;;1.0;0.0;PLC→HMI 球_报警代码（DWord）
Meas_DiskSpeed;InputRegister;1606;Float32;mm/s;1.0;0.0;PLC→HMI 盘_当前转速
Meas_DiskTorque;InputRegister;1608;Float32;N·m;1.0;0.0;PLC→HMI 盘_当前扭矩
Meas_DiskAlarmCode;InputRegister;1610;UInt32;;1.0;0.0;PLC→HMI 盘_报警代码（DWord）
Meas_PressSpeed;InputRegister;1612;Float32;rpm;1.0;0.0;PLC→HMI 下压_当前转速
Meas_PressTorque;InputRegister;1614;Float32;N·m;1.0;0.0;PLC→HMI 下压_当前扭矩
Meas_PressAlarmCode;InputRegister;1616;UInt32;;1.0;0.0;PLC→HMI 下压_报警代码（DWord）
MeasHmi_LoadN;HoldingRegister;1380;Float32;N;1.0;0.0;HMI→PLC 当前载荷（PC侧测量回写供 PLC 控制/报警）
MeasHmi_TempC;HoldingRegister;1388;Float32;°C;1.0;0.0;HMI→PLC 当前温度（PC侧测量回写供 PLC 控制/报警）
MeasHmi_ForceN;HoldingRegister;1390;Float32;N;1.0;0.0;HMI→PLC 当前拉压力/牵引力（PC侧测量回写供 PLC 控制/报警）
St_Auto2_SingleDone;HoldingRegister;406;UInt16;;;0.0;PLC→HMI Auto2_单次完成（0x/Coils）
Meas_LoadAlarmLimit;InputRegister;1618;Float32;N;1.0;0.0;PLC→HMI 载荷报警限制
St_PhotoRequest;HoldingRegister;407;UInt16;;;;PLC→HMI 拍照请求（现场验证：FC03 4x 地址 407=1/0）
